SNo.,Provider,Anime Name,Season,EP,Quality,Audio
1,[SubsPlease],One Piece,N/A,978,(1080p),(SUB)
2,[Golumpa],That Time I Got Reincarnated as a Slime,S2,09,[FuniDub 720p x264 AAC],(DUB)
3,[Golumpa],Black Clover,N/A,155,[FuniDub 720p x264 AAC],(DUB)
4,[SubsPlease],Boruto - Naruto Next Generations,N/A,195,(1080p),(SUB)
5,[Golumpa],Bungo Stray Dogs WAN!,N/A,09,[CR-Dub 720p x264 AAC],(DUB)
6,[SubsPlease],Boku No Hero Academia,N/A,100,(1080p),(SUB)
7,[Golumpa],My Hero Academia,S5,10,[FuniDub 720p x264 AAC],(DUB)
8,[SubsPlease],Mairimashita! Iruma-kun,S2,09,(1080p),(SUB)
9,[KaiDubs],The Promised Neverland,S2,10,[720p],(DUB)
10,[Golumpa],Welcome to Demon School! Iruma-kun,S2,01,[CR-Dub 720p x264 AAC],(DUB)
